date,Chalk Bag
2024-04-14,55
2024-04-21,62
2024-04-28,54
2024-05-05,59
2024-05-12,57
2024-05-19,55
2024-05-26,57
2024-06-02,52
2024-06-09,62
2024-06-16,59
2024-06-23,53
2024-06-30,52
2024-07-07,57
2024-07-14,58
2024-07-21,49
2024-07-28,59
2024-08-04,60
2024-08-11,64
2024-08-18,61
2024-08-25,65
2024-09-01,59
2024-09-08,50
2024-09-15,56
2024-09-22,49
2024-09-29,53
2024-10-06,52
2024-10-13,51
2024-10-20,51
2024-10-27,54
2024-11-03,52
2024-11-10,60
2024-11-17,75
2024-11-24,88
2024-12-01,87
2024-12-08,100
2024-12-15,83
2024-12-22,60
2024-12-29,63
2025-01-05,62
2025-01-12,55
2025-01-19,56
2025-01-26,62
2025-02-02,59
2025-02-09,62
2025-02-16,55
2025-02-23,56
2025-03-02,54
2025-03-09,52
2025-03-16,60
2025-03-23,56
2025-03-30,61
2025-04-06,52
2025-04-13,57
2025-04-20,79
